id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
9718,0.9128709999999999,72500000.0,162966177.0,Talladega Nights: The Ballad of Ricky Bobby,116,2006-08-04,274,6.2,2006,78421013.976139,176275487.505585
1402,0.8909090000000001,55000000.0,307077295.0,The Pursuit of Happyness,117,2006-12-14,1392,7.5,2006,59491803.7060365,332156039.213103
1887,0.883222,40000000.0,60474340.0,Marie Antoinette,123,2006-05-24,363,6.5,2006,43266766.33166289,65413228.44603829
9959,0.8756299999999989,37665000.0,14655628.0,Freedomland,113,2006-02-17,44,5.3,2006,40741068.847052,15852540.8029944
1523,0.850959,6000000.0,48027970.0,The Last King of Scotland,121,2006-09-01,274,7.3,2006,6490014.94974943,51950373.8843529
214,0.849096,10000000.0,163876815.0,Saw III,108,2006-10-27,538,6.0,2006,10816691.5829157,177260496.544553
7512,0.848086,30000000.0,495303.0,Idiocracy,84,2006-09-01,326,6.1,2006,32450074.7487471,535753.97910929
9353,0.840205,32000000.0,80197993.0,Nacho Libre,92,2006-06-16,214,5.5,2006,34613413.0653303,86747695.58498341
9676,0.8384309999999989,50000000.0,49111202.0,The Black Dahlia,121,2006-09-15,151,5.8,2006,54083457.9145786,53122072.5300274
503,0.826011,160000000.0,181674817.0,Poseidon,99,2006-05-12,313,5.3,2006,173067065.326651,196512046.38716498
9310,0.793804,17000000.0,7314027.0,American Dreamz,107,2006-03-04,43,4.6,2006,18388375.690956697,7911357.42881183
18615,0.788266,16800000.0,2281089.0,Fur: An Imaginary Portrait of Diane Arbus,122,2006-08-30,33,6.3,2006,18172041.859298397,2467383.61861816
1819,0.780687,54000000.0,130431368.0,"You, Me and Dupree",108,2006-07-14,242,5.3,2006,58410134.5477449,141083588.03937802
773,0.7785890000000001,8000000.0,100523181.0,Little Miss Sunshine,102,2006-07-26,952,7.3,2006,8653353.26633258,108732824.581061
9072,0.773044,64000000.0,101595121.0,Little Man,98,2006-08-31,143,5.6,2006,69226826.1306606,109892309.0186
9794,0.743703,12000000.0,38368909.0,Employee of the Month,103,2006-10-06,82,5.4,2006,12980029.8994988,41502465.5025959
806,0.7277520000000001,25000000.0,119188334.0,The Omen,110,2006-06-06,154,5.2,2006,27041728.9572893,128922344.91595401
1251,0.723825,19000000.0,68673228.0,Letters from Iwo Jima,141,2006-12-19,292,6.9,2006,20551714.0075398,74281712.72792521
